last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Keuchel, Dallas,572971,2018,874,661,.263,.252,.011,.393,.366,.027,.306,.295,.011
Shields, James,448306,2018,871,630,.245,.266,-.021,.435,.469,-.034,.326,.351,-.025
Scherzer, Max,453286,2018,866,503,.188,.187,.001,.332,.319,.013,.252,.249,.003
Freeland, Kyle,607536,2018,844,595,.240,.242,-.002,.358,.374,-.016,.292,.299,-.007
Kluber, Corey,446372,2018,842,582,.224,.236,-.012,.368,.377,-.009,.270,.281,-.011
Greinke, Zack,425844,2018,839,591,.231,.246,-.015,.390,.408,-.018,.286,.303,-.017
deGrom, Jacob,594798,2018,835,515,.196,.201,-.005,.277,.291,-.014,.230,.243,-.013
Verlander, Justin,434378,2018,833,498,.200,.190,.010,.360,.315,.045,.260,.241,.019
Nola, Aaron,605400,2018,831,542,.197,.208,-.011,.311,.322,-.011,.251,.263,-.012
Gibson, Kyle,502043,2018,826,564,.241,.250,-.009,.385,.390,-.005,.306,.316,-.010
Marquez, German,608566,2018,817,520,.241,.224,.017,.398,.355,.043,.300,.281,.019
Hendricks, Kyle,543294,2018,812,598,.247,.243,.004,.391,.388,.003,.295,.297,-.002
Clevinger, Mike,605182,2018,810,531,.223,.219,.004,.365,.358,.007,.288,.285,.003
Mikolas, Miles,571945,2018,808,626,.245,.248,-.003,.350,.380,-.030,.271,.286,-.015
Porcello, Rick,519144,2018,808,554,.241,.245,-.004,.399,.404,-.005,.303,.311,-.008
Hamels, Cole,430935,2018,806,532,.246,.265,-.019,.422,.433,-.011,.325,.339,-.014
Corbin, Patrick,571578,2018,800,501,.218,.233,-.015,.337,.364,-.027,.265,.282,-.017
Lopez, Reynaldo,625643,2018,799,563,.234,.257,-.023,.400,.437,-.037,.310,.336,-.026
Cole, Gerrit,543037,2018,799,452,.198,.199,-.001,.332,.338,-.006,.265,.272,-.007
Berrios, Jose,621244,2018,797,521,.222,.224,-.002,.372,.364,.008,.292,.292,.000
Chacin, Jhoulys,468504,2018,796,558,.220,.252,-.032,.357,.405,-.048,.287,.322,-.035
Godley, Zack,643327,2018,791,513,.260,.257,.003,.389,.404,-.015,.322,.333,-.011
Taillon, Jameson,592791,2018,785,554,.246,.244,.002,.385,.376,.009,.294,.292,.002
Leake, Mike,502190,2018,784,624,.280,.298,-.018,.447,.472,-.025,.326,.347,-.021
Carrasco, Carlos,471911,2018,784,504,.238,.228,.010,.384,.367,.017,.288,.280,.008
Severino, Luis,622663,2018,780,509,.238,.241,-.003,.379,.393,-.014,.290,.298,-.008
Gausman, Kevin,592332,2018,776,571,.264,.279,-.015,.436,.455,-.019,.325,.339,-.014
Giolito, Lucas,608337,2018,775,545,.250,.260,-.010,.444,.437,.007,.345,.350,-.005
Lester, Jon,452657,2018,761,542,.256,.267,-.011,.410,.447,-.037,.319,.340,-.021
Roark, Tanner,543699,2018,760,554,.262,.257,.005,.422,.419,.003,.319,.318,.001
Junis, Jakob,596001,2018,758,536,.265,.256,.009,.455,.442,.013,.331,.330,.001
Bundy, Dylan,605164,2018,750,506,.274,.246,.028,.523,.443,.080,.363,.325,.038
Heaney, Andrew,571760,2018,749,516,.248,.246,.002,.419,.404,.015,.310,.309,.001
Gonzalez, Gio,461829,2018,746,516,.256,.253,.003,.399,.409,-.010,.320,.326,-.006
Wheeler, Zack,554430,2018,744,501,.225,.222,.003,.320,.337,-.017,.273,.278,-.005
Foltynewicz, Mike,592314,2018,744,467,.195,.205,-.010,.324,.334,-.010,.265,.275,-.010
Gray, Jon,592351,2018,743,501,.266,.249,.017,.451,.393,.058,.332,.307,.025
Quintana, Jose,500779,2018,739,510,.246,.254,-.008,.418,.419,-.001,.319,.324,-.005
Anderson, Tyler,542881,2018,736,511,.248,.237,.011,.448,.382,.066,.324,.301,.023
Happ, J.A.,457918,2018,733,479,.225,.234,-.009,.389,.406,-.017,.295,.306,-.011
Holland, Derek,502706,2018,727,487,.241,.242,-.001,.405,.404,.001,.309,.313,-.004
Teheran, Julio,527054,2018,724,469,.196,.231,-.035,.374,.407,-.033,.295,.322,-.027
Arrieta, Jake,453562,2018,724,520,.254,.252,.002,.407,.395,.012,.315,.312,.003
Price, David,456034,2018,722,485,.230,.244,-.014,.399,.413,-.014,.300,.314,-.014
Bauer, Trevor,545333,2018,717,430,.208,.204,.004,.302,.313,-.011,.260,.264,-.004
Fiers, Mike,571666,2018,714,530,.249,.257,-.008,.450,.480,-.030,.319,.336,-.017
Urena, Jose,570632,2018,712,519,.242,.248,-.006,.381,.391,-.010,.298,.308,-.010
Odorizzi, Jake,543606,2018,711,471,.242,.252,-.010,.419,.439,-.020,.322,.338,-.016
Boyd, Matthew,571510,2018,709,488,.228,.215,.013,.410,.377,.033,.305,.289,.016
Castillo, Luis,622491,2018,708,489,.245,.248,-.003,.431,.429,.002,.314,.320,-.006
Williams, Trevor,592866,2018,701,516,.231,.250,-.019,.364,.398,-.034,.287,.310,-.023
