last_name, first_name,pitcher,ff_avg_spin,si_avg_spin,fc_avg_spin,sl_avg_spin,ch_avg_spin,cu_avg_spin,fs_avg_spin,kn_avg_spin
Verlander, Justin,434378,2621,,2558,2685,1896,2899,,
Scherzer, Max,453286,2487,,2425,2386,1457,2512,,
Keuchel, Dallas,572971,2165,2042,2165,2190,1544,,,
Cole, Gerrit,543037,2385,2316,,2569,1676,2846,,
Clevinger, Mike,605182,2300,,,2388,1500,2196,,
Freeland, Kyle,607536,2265,2212,,2193,1394,2217,,
Porcello, Rick,519144,2435,2352,,2553,1761,2821,,
Severino, Luis,622663,2363,,,2872,1658,,,
Gibson, Kyle,502043,2218,2086,,2472,1696,2471,,
Chacin, Jhoulys,468504,2136,2029,,2366,1387,2365,1598,
Nola, Aaron,605400,2116,2057,,,1478,2545,,
deGrom, Jacob,594798,2362,2257,,2496,1700,2564,,
Lester, Jon,452657,2231,2077,2382,,1807,2574,,
Marquez, German,608566,2209,2156,,2351,1731,2688,,
Shields, James,448306,2271,2178,2342,,1665,2478,,
Kluber, Corey,446372,2410,2267,2604,,1752,2609,,
Foltynewicz, Mike,592314,2347,2246,,2514,1908,2499,,
Corbin, Patrick,571578,2267,2215,,2389,1710,2089,,
Greinke, Zack,425844,2335,2278,,2540,1738,2476,,
Price, David,456034,2244,2180,2162,,1721,2207,,
Happ, J.A.,457918,2333,2140,,2187,1617,2130,,
Hamels, Cole,430935,2083,2077,2046,2115,1653,2197,,
Lopez, Reynaldo,625643,2102,2021,,2119,1541,2065,,
Gonzalez, Gio,461829,2229,2121,,,1630,2714,,
Hendricks, Kyle,543294,2074,1947,,,2090,2795,,
Gausman, Kevin,592332,2170,2296,,2211,,,1478,
Godley, Zack,643327,2360,2234,2197,,1287,2178,,
Giolito, Lucas,608337,2099,2003,,2015,1651,2359,,
Mikolas, Miles,571945,2309,2218,,2361,1680,2613,,
Newcomb, Sean,656794,2181,,,2583,1620,2716,,
Lynn, Lance,458681,2386,2218,2506,,1611,2222,,
Berrios, Jose,621244,2213,2145,,,1633,2360,,
Odorizzi, Jake,543606,2255,,2221,2202,,2290,1605,
