last_name, first_name,pitcher,n_ff,n_si,n_fc,n_sl,n_ch,n_cu,n_fs,n_kn
Verlander, Justin,434378,61.3,0.0,0.5,22.0,1.4,14.7,0.0,0.0
Scherzer, Max,453286,50.1,0.0,9.7,16.6,15.7,7.9,0.0,0.0
Keuchel, Dallas,572971,11.9,41.9,15.1,18.5,12.6,0.0,0.0,0.0
Cole, Gerrit,543037,50.6,5.7,0.0,19.7,4.6,19.3,0.0,0.0
Clevinger, Mike,605182,53.1,0.0,0.0,21.1,14.0,11.8,0.0,0.0
Freeland, Kyle,607536,39.7,12.6,0.0,29.8,13.4,4.4,0.0,0.0
Porcello, Rick,519144,21.6,28.7,0.0,24.1,11.4,14.2,0.0,0.0
Severino, Luis,622663,50.3,0.0,0.0,35.8,13.9,0.0,0.0,0.0
Gibson, Kyle,502043,23.3,34.5,0.0,20.8,11.0,10.5,0.0,0.0
Chacin, Jhoulys,468504,12.9,34.7,0.0,45.3,2.0,0.4,4.7,0.0
Nola, Aaron,605400,36.5,12.9,0.0,0.0,19.8,30.9,0.0,0.0
deGrom, Jacob,594798,42.8,9.2,0.0,24.0,16.1,7.9,0.0,0.0
Lester, Jon,452657,45.4,5.0,24.9,0.0,9.1,15.7,0.0,0.0
Marquez, German,608566,46.0,9.0,0.0,15.9,6.3,22.8,0.0,0.0
Shields, James,448306,26.5,11.5,24.0,0.0,18.2,19.7,0.0,0.0
Kluber, Corey,446372,8.9,32.8,29.4,0.0,6.5,22.5,0.0,0.0
Foltynewicz, Mike,592314,39.9,16.7,0.0,27.3,6.0,10.1,0.0,0.0
Corbin, Patrick,571578,20.0,28.5,0.0,41.0,1.1,9.3,0.0,0.0
Greinke, Zack,425844,44.2,5.9,0.0,17.7,21.0,11.2,0.0,0.0
Price, David,456034,15.3,32.9,26.4,0.0,22.8,2.5,0.0,0.0
Happ, J.A.,457918,59.5,14.0,0.0,12.6,12.3,1.6,0.0,0.0
Hamels, Cole,430935,30.2,14.9,18.3,4.8,18.8,13.0,0.0,0.0
Lopez, Reynaldo,625643,60.7,0.1,0.0,17.9,15.5,5.8,0.0,0.0
Gonzalez, Gio,461829,29.6,26.8,0.0,0.0,23.1,20.5,0.0,0.0
Hendricks, Kyle,543294,17.3,44.4,0.0,0.0,30.7,7.6,0.0,0.0
